image,tile,label,r,g,b,h,s,v
1,"(0, 0)",grassland,103.9173,149.9962,35.0817,41.5906,193.0161,151.1209
1,"(0, 1)",lake,9.4618,90.9153,172.7173,101.9646,239.8913,176.1833
1,"(0, 2)",forest,47.1212,65.577,21.1334,45.1864,161.1531,66.1181
1,"(0, 3)",forest,46.9155,61.393,22.4676,43.6752,152.9081,61.6782
1,"(0, 4)",forest,46.7913,62.2859,20.9677,44.4531,159.8208,63.2256
1,"(1, 0)",grassland,97.0951,151.0033,31.2887,43.3704,202.0811,151.0329
1,"(1, 1)",forest,44.5905,61.7544,22.0581,44.8309,160.4163,61.8739
1,"(1, 2)",forest,46.2138,62.7122,20.5084,43.0294,167.6024,62.8192
1,"(1, 3)",forest,61.5653,67.634,28.9243,36.5725,158.8622,70.603
1,"(1, 4)",grassland,97.8792,143.5117,25.6548,40.9778,210.926,144.1913
1,"(2, 0)",grassland,108.9149,150.5195,33.3268,40.8554,199.6978,151.0532
1,"(2, 1)",swamp,106.7636,94.5388,54.7356,23.7077,132.757,107.1856
1,"(2, 2)",home,137.1753,136.9797,78.8109,28.5602,110.4772,139.9255
1,"(2, 3)",forest,44.7052,60.4036,17.2956,42.4547,172.7378,60.6874
1,"(2, 4)",grassland,101.0294,140.5964,19.9476,39.3559,219.9982,141.6698
1,"(3, 0)",grassland,100.8379,150.5688,29.3834,42.513,207.7758,150.8302
1,"(3, 1)",swamp,111.2761,97.4377,56.9036,24.3891,134.6243,111.7854
1,"(3, 2)",lake,16.4718,91.0861,159.782,98.5689,227.9777,165.5335
1,"(3, 3)",grassland,112.8167,118.9527,35.6877,32.4253,191.8896,135.7822
1,"(3, 4)",grassland,101.3928,120.6302,21.4878,34.6859,215.459,132.4562
1,"(4, 0)",forest,56.2349,67.118,39.2565,48.1779,100.3718,68.259
1,"(4, 1)",lake,55.0427,91.5763,122.1604,78.9684,193.0165,146.2953
1,"(4, 2)",lake,24.4302,74.7411,134.1285,98.0095,212.4394,139.3264
1,"(4, 3)",grassland,96.8393,112.5143,29.2567,34.582,200.6038,123.546
1,"(4, 4)",field,190.5531,167.2764,7.3486,26.3026,245.1842,191.1801
2,"(0, 0)",field,168.2768,144.9611,3.928,25.5194,248.0155,168.2771
2,"(0, 1)",swamp,108.7186,102.7296,72.5173,25.2381,84.4957,108.8012
2,"(0, 2)",field,170.8091,148.2058,6.4409,25.7646,244.1053,170.8091
2,"(0, 3)",mine,59.3606,49.6765,21.2076,29.8934,135.6631,59.6385
2,"(0, 4)",swamp,96.305,85.3767,48.1873,23.6735,130.9151,96.3389
2,"(1, 0)",mine,57.0091,48.5368,25.4015,33.5659,104.5056,57.335
2,"(1, 1)",swamp,82.9962,73.0844,41.4782,25.1282,134.1846,83.2193
2,"(1, 2)",field,174.3964,150.7853,5.1887,25.5791,245.7947,174.3969
2,"(1, 3)",field,177.8543,153.4524,4.645,25.7841,248.4215,177.8543
2,"(1, 4)",forest,43.0774,53.9309,17.1451,44.1514,159.9076,55.1374
2,"(2, 0)",mine,63.7334,53.3005,28.5311,32.1827,106.5468,63.9784
2,"(2, 1)",swamp,98.4203,87.3337,51.5953,23.9685,125.1573,98.4476
2,"(2, 2)",home,117.9654,104.2369,87.6929,23.6445,71.3569,118.3995
